
52259241	226 103 139 263 318 228 407 318 167 79 237 63 250 263 178 429 171 247 155 
52259242	
52259243	113 
52259244	
52259254	161 161 161 161 429 155 247 155 268 247 155 155 251 155 251 155 237 421 140 407 45 161 161 
52259256	
52259269	9 
52259270	
52259279	
52259292	
52259301	
52259303	2 2 2 321 2 351 49 32 301 351 191 2 126 145 114 165 2 321 116 304 2 145 199 301 156 378 
52259308	
52259316	54 
52259322	
52259336	285 425 163 287 107 
52259347	353 280 
52259350	
52259357	54 
52259383	375 32 32 32 
52259384	276 
52259387	394 333 
52259389	414 176 176 183 176 
52259392	
52259397	395 433 280 433 280 395 
52259398	
52259408	
52259419	
52259424	229 323 228 81 420 260 273 315 315 55 
52259432	348 348 182 420 182 
52259433	0 433 
52259437	
52259440	15 15 409 15 15 434 1 15 260 287 287 15 287 210 287 108 55 108 117 55 10 108 117 229 15 434 15 427 260 7 15 433 117 233 15 193 15 
52259441	0 321 318 
52259447	0 319 321 406 280 
52259453	
52259459	55 55 55 166 
52259476	0 60 155 348 348 310 275 142 420 100 420 142 233 0 409 79 409 0 228 294 294 399 294 66 381 66 294 294 280 294 381 403 176 188 117 420 294 160 320 420 420 160 160 420 310 0 233 142 429 348 348 
52259483	392 392 
52259490	318 164 32 107 
52259505	
52259509	392 103 392 392 
52259533	0 182 429 284 155 315 420 116 116 420 429 155 186 182 182 81 110 
52259534	222 434 434 
52259537	353 353 346 79 66 280 346 346 77 
52259546	354 182 351 
52259550	0 
52259559	
52259569	413 
52259576	274 300 434 300 274 300 274 103 300 274 
52259582	384 191 55 
52259607	286 286 286 
52259622	286 286 
52259629	396 396 291 396 378 396 186 186 291 346 285 182 182 103 291 114 182 366 122 182 163 182 291 291 182 182 291 291 291 369 422 55 
52259643	318 32 
52259647	392 103 392 392 
52259665	81 94 298 384 126 388 126 94 187 374 187 54 374 81 250 
52259669	286 3 
52259698	286 414 
52259714	
52259748	349 302 349 
52259750	392 103 392 392 77 392 77 
52259753	306 
52259767	384 174 384 384 395 176 97 20 342 32 384 363 67 384 384 
52259776	117 
52259780	273 
52259790	353 
52259810	434 234 300 234 407 407 401 195 401 79 79 234 204 79 195 234 79 32 234 234 234 234 204 375 234 258 234 94 406 406 127 127 406 41 407 150 234 150 234 234 150 375 149 375 406 234 406 234 258 234 234 406 234 165 234 346 434 308 300 234 234 234 388 41 294 294 434 353 103 234 234 234 53 234 53 79 19 195 308 234 314 202 234 378 94 
52259817	0 233 348 8 310 275 142 420 100 99 420 0 233 232 
52259824	228 
52259843	348 348 
52259845	434 
52259887	161 29 280 277 79 94 94 94 
52259889	381 389 
52259894	234 270 
52259898	396 291 315 186 280 
52259911	286 
52259912	149 318 277 379 318 277 75 116 273 280 
52259913	294 414 414 71 71 434 116 414 103 116 
52259928	163 323 369 
52259935	120 
52259954	194 74 103 
52259967	270 
52259997	181 323 
52260021	
52260022	120 
52260030	48 353 353 353 392 392 353 392 392 103 353 280 103 103 392 353 392 392 353 392 280 353 392 265 392 353 392 
52260038	315 207 94 60 291 81 
52260045	94 94 94 94 94 296 94 318 94 318 94 434 94 94 318 94 318 392 94 234 103 296 95 164 
52260048	319 319 
52260055	32 280 273 182 
52260071	306 294 280 
52260103	315 315 
52260113	348 8 112 275 166 348 434 168 399 168 373 103 48 
52260118	422 181 197 367 30 276 166 197 
52260133	420 362 280 367 420 285 163 93 186 362 
52260169	0 394 271 394 359 300 359 388 388 300 55 55 247 268 116 233 55 155 34 57 167 186 301 429 429 268 428 354 25 433 60 186 186 422 186 155 155 155 155 268 155 354 155 186 301 155 268 155 186 155 429 
52260178	168 252 392 174 353 120 353 252 174 168 353 392 360 353 300 392 
52260184	392 94 168 77 77 
52260185	300 186 280 151 434 434 272 116 359 434 117 418 116 294 182 418 384 294 66 32 434 155 60 60 360 300 163 388 
52260192	351 155 
52260225	395 404 404 300 
52260228	286 286 
52260236	351 155 
52260243	74 
52260246	0 319 155 268 355 251 208 80 233 268 280 80 80 80 139 80 126 318 0 80 55 
52260247	20 
52260251	319 55 55 
52260272	167 94 280 185 186 94 280 
52260286	0 348 208 80 72 
52260289	
52260299	0 343 186 343 348 32 79 343 186 338 
